"titles","pros","cons","toceo"
"""외부에 알려진 것보다 하드한 기업이다. 워라밸 기대하고 가면 적응하기 힘들 것이다""","높은 연봉/ 업계 1위의 자본력과 자긍심은 타사가 따라올 수 없는 강점","워라밸이 생각보다 좋지 않음
전사 사업 방향이 워낙 빡셈","보다 현실적인 방향의 사업을 추진하길 바랍니다."
"""서울에서 일하고 많은 경험을 쌓을수 있다. 연봉 많이 주고 일은 힘들다.""","서울에서 일하고 많은 경험을 쌓을수 있다. 또한 연봉을 많이 준다.","야근이 많고 매일매일 할일이 늘어난다. 상사 눈치보기 힘들다. 일이 많다.","복지가 좀더 좋았으면...좋겠고 좀 더 야근이 없었으면 합니다."
"""개발자가 대우받으며 보람차게 일할 수 있는 곳""","기업 분위기가 젊다. 개발자가 대우받으며 보람차게 일할 수 있는 곳이다. t 타워의 직원 복지시설이 매우 다양하고 좋다.","야근과 주말 근무가 불가피하다. 업무 강도가 높은 편이다. 구내식당 줄이 길어 점심시간이 제한적이다.","개발자가 대우받으며 보람차게 일할 수 있는 곳"
"""재미있는 실험을 하는 (플랫폼 비즈니스) 곳이나 내부 직원들은 플랫폼 회사를 지향하는 것에 대해 물음표를 띄우는 경우가 많음""","높은 연봉. 안정된 직장. 본사에서 근무하는 것이라면 T타워에서 근무한다는 것 만으로도 자부심을 느낄 수 있음","개인적 성장을 할 수 없음. 다들 안주하게 됨. 통신사에서 있다가 다른 곳으로 이직하기에 메리트 있는 커리어를 쌓을 수 없음.","없다. (어떤 말을 해도 별로 나아지지 않을 것을 알기 때문에)"
"""본사에서 근무했던 경험으로 복지 및 근무 환경이 매우 자유로운 편, 일에 대한 기한이나 제약이 크진 않았다.""","먼저 사내에 도서관이 있고, 책을 자유롭게 빌려갈 수 있다. 특히 IT 관련 책이 많으며, 도서관에 앉아서 편하게 책을 읽을 수도 있다. 화장실 역시 비데 설치로 엄청 깔끔했으며, 지하2층에 카페가 있는데 직원인 경우 1000원에 이용이 가능하다. 연차를 금요일에 쓸 수 있으며, 눈치를 보지 않는다. 대부분 금요일 혹은 공휴일에 몰아서 쓴다. 프로젝트나 기타 맡은 일이 없으면 자유롭게 근무한다.","부서별로 근무 환경이 매우 심하다. 내가 있던 곳은 팀장님의 재량 하에 엄청 부드럽고 자유로운 분위기였으나 기타 부서는 늦게까지 야근하는 경우가 잦았고 회식도 많이 하는 듯해 보였다.","임직원은 주차장을 자유롭게 쓰지만 그 이하의 경우는 주차비를 따로 내야한다고 하였다. 그래서 그런지 사내에 자차를 몰고 오는 사람이 없으며 대부분 지하철을 이용하는 듯 하다"
"""합리적인 기업문화 높은 연봉 그에 비해 적당한 근무강도가 매력인 회사""","연봉대비 근무강도가 강점. IoT산업의 최신 트렌드를 경험해 볼 수 있음. 영업하기 좋은 브랜드 인지도","경쟁사 대비 적은 직원수는 강점이자 단점. 파트너사에 과도하게 의존하는 구조라 제대로된 혁신 불가능. 적은 인원으로 일처리를 하다보니 디테일한 결과물이 잘 안나옴","직원 수를 조금 더 늘리고 파트너사에 대한 의존도를 낮출 필요가 있음"
"""돈은 정말 많이 주는데 주는것보다는 덜시키는 회사""","돈을 정말 많이 주고 탑티어 중 제일 수평적 , 복장착용이 자유롭고 표면적으로는 분위기도 자유로워 보임","보고를 위한 보고가 많고, 자금을 이상한 곳에 사용 / 수평적인 척 하지만 직원들 사이에 경쟁이 치열하고 야근이 많음","신규 사업 추진에 너무 불필요한 돈을 많이 사용하지 않았으면, 하던 사업이나 더 집중하는게 좋을 듯"
"""안정성과 성장포텐셜이 강함 급여 복지도 매력적인 회사임에는 분명함""","안정적인 수익성이 지속적으로 유지되고 향후에도 유지될 전망","규제산업 특성상 본업의 성장성은 제한적임 야근이 심한 부서는 업무량 과다","주인의식을 가지고 조직을 리드해주었으면 함 조직의 효율성 개선 노력도 지속해주었으면 함"
"""대기업 중에 사내문화와 복지가 상타...!""","똑똑한 사람이 많다.. 다들 스마트한 느낌이 있음. 물론 아닌 사람도 있지만.. 최근엔 외부에서 데려오는 경력직도 많아지는 추세. 그래도 아직 skt 공채로 들어온 로열 skt 사람들이 많다","신규 성장 동력을 찾아야 하는데 시도하는대로 족족 망한다는 게...","인사 관리를 융통성 있게 했으면 좋겠다"
"""업계 1위에 걸맞는 연봉과 복지를 갖추고있고 앞으로도 계속 성장할것이다""","시스템이 잘 갖추어져있으므로 신입사원이 체계적으로 배우고 적응가능함","점유율에 너무 치중하는 모습을 보임, 마케팅이 점유율 위주","경영진이 한마음한뜻으로 열심히하여 우주가 도와주길 바람"
"""전문성 쌓기는 어려움. 관리직종으로 이직 쉽지 않음.""","상대적으로 자유로운 분위기, 성과 중심적으로 그 외적인 부분에서 터치 적음.","체계가 잡히지 않은 분야가 많음. 인수인계도 잘 이뤄지지 않아 담당자가 바뀔 때마다 스타일이 달라지는 경우 많음.","신규사업에 대한 제대로 된 투자가 필요. 기존 사업 때문에 제대로 하기 어려운 부분이 많음."
"""주도적으로 자신의 일을 할 수 있는 곳, 뛰어난 인재들과 같이 일 한다는 자부심""","복지가 상당히 좋고, 연봉이 좋으며, 일하는 사람들이 대부분 고학력이다.","기업의 발전 가능성이 불분명하다. 정체되어 있어서 성장 가능성이 좀 낮은 것 같다","효율성만 강조하여 비용, 인력을 감축하는 것 보다 적극적인 사업모델을 찾아서 투자했으면 좋겠습니다."
"""대기업의 체계적임은 느낄수 있었지만 신부서인지라 체계가 전혀 안잡혀있었음""","복지가 좋고 출퇴근 칼같이해서 좋았음 휴가 따박따박 챙겨주고","다른 부서는 모르겠지만 신부서이고 본사에서 떨어져나와있는지라 본사의 혜택을 많이 못받고 체계가 안잡혀있음","체계적인 업무진행을 위한 기초체계를 잘잡아갔으면좋겠습니다"
"""자본이 빵빵한 스타트업 같은 느낌. 타 기업에 비해 자유롭긴 하나 사내정치 존재""","남부럽지 않은 연봉/복지, 자유로운 기업문화, 대외적 이미지까지 한국에서 다섯 손가락 안에 들만함","국내 고객 포화로 통신업에서 더이상의 성장은 어려우므로, 새로운 활로를 개척하려 함. 하지만 제조 분야 사업은 기반이 없고, 모바일 사업에선 높은 수익을 기대하기 어려움. 현실이 이러한데 아직 과거의 영광에 젖어 '우리가 겨우 이런 스케일의 사업을 해?'라는 마인드를 가진 경영진 다수 존재","잘나갔던 과거는 과거로 묻어두고 미래를 직시할 필요가 있음. 그리고 막대한 자금력으로 사업 뺏어먹기가 아닌 퍼스트 무버로써의 역할을 하길."
"""다양한 직군을 경험할 수 있는 기업. 업계 최고 자부심""","직급이 없이 모두 매니저로 호칭 수평적인 분위기를 지향
높은 연봉","위에 언급한 것 처럼 직급 없이 모두 매니저로 호칭하여 수평적인 분위기를 지향하지만, 모든 부서가 그런 것은 아님
업무 배치 전 지역 순환","지금도 좋지만 좀 더 건강한 기업이 되기 위한 노력이 필요
좀 더 유연한 조직 문화가 있으면 더욱 좋겠다"
"""높은 연봉과 비교적 안정적인 통신업 기반 위에서 일할 수 있는 곳.""","통신업에 안주하지 않고 여러 사업을 지속해서 추진해나가는 모습을 보고 기대가 되었다. 비교적 자유분방한 회사 분위기도 좋았다.","스타트업을 모방하고 따라가려고 하지만 대기업은 대기업이다. 수직적 의사소통과 팀 간 소통부재는 고쳐야 한다.","이번에 좌절된 데에 굴하지 않고, 내부개발과 더불어 끊임없는 M&A를 추진해나갔으면 좋겠다."
"""무선통신 사업의 1등 기업으로 오랜 시간 M/S 50%를 유지하는 등 많은 성과를 내고 있고, 구성원들의 회사에 대한 자부심과 만족도는 높음""","업계 최고 수준의 연봉과 다양한 복지 혜택(의료비, 선복비, 통신비 등)을 제공하고 있으며 사내 체육 시설 등을 활용한 다양한 운동 프로그램 이용이 가능하여 건강 관리에 도움이 됨","오랜시간 현금흐름이 좋고 사업이 유지되는 환경에 있다보니 사내 정치가 만연하고 새로운 사업을 준비하고 시작하는 것에 대한 추진력이 떨어짐. 눈치보기, 일 미루기, 광 팔기 등 다양한 전투력을 가지고 있는 사람들이 많음","변화를 추진하려면 전체 회사가 one voice로 움직여야 함. 이에 투명한 사내 커뮤니케이션을 진행하고 경영성과, 전략, 목표 등에 대한 지속적인 update를 통해서 구성원들이 현재의 상황과 비전을 공유할 수 있는 문화를 만들어야 함"
"""뛰어난 인재들 각자가 하나의 중소기업처럼 일하는 곳. 대외 이미지에 비해 본사 직원들의 연령층은 상당히 높음.""","본사의 복지시설이 매우 뛰어나며 복리후생 제도가 잘 되어 있음. 매니저급일 경우 개개인이 자유로운 분위기에서 업무 진행이 가능함. 보고서 작업이 많지 않음. SK그룹 차원의 프로젝트에 조인하는 경우가 많아 큰 규모의 사업에 참여할 기회가 주어짐.","전략기획 작업진행시 컨설턴트 의존도가 매우 높음. 업무내용을 문서화하여 공유하는 시스템이 없어 구전에 의지해야 하며, 담당자 퇴사시 자료가 사라질 위험이 큼. 팀장급의 경우 업무강도가 높고 업무량이 매우 많음.","본사에서도 정년퇴직할 수 있는 직장문화가 정착되길 바랍니다."
"""통신시장의 포화상태로 새로운 먹거리를 찾아다니고 있는 상황""","통신업체 1위라는 자부심, 그리고 만족도 높은 연봉이 있다","통신시장이 과포화되서 새로운 먹거리를 찾고있다. 대부분 부정적이지만 이것은 통신업계 모두의 문제이다","신사업에 대한 열정은 좋지만 조금 더 시장을 구체적으로 직접 파악하고 추진하는것이 필요"
"""급여 복지는 좋으나 업무강도 및 야근 빈번하여 급여가 적게 느껴질 때도""","급여 및 복지가 뛰어나고 근무환경 사무실이 깨끗하고 좋음","내부순환제로 업무에 대한 전문성을 갖기 어려워 텔레콤 외 이직이 어려움","핵심인재에 대한 육성 및 지원 업무적 커리어를 쌓을 수 있는 기회를 주었으면 함"
"""타 기업에 비해 수평적을 지향하며 자유도가 높은 편임.""","교육기회가 상대적으로 잘 보장되며, 복지또한 타 기업에 비해 훌륭한 수준. 수평적인 조직문화로 인한 자유로운 의견 제시 가능.","보고를 위한 보고 문화가 있으며, 개개인이 담당하고 있는 업무가 수시로 바뀌는 것에 비해 업데이트가 느려 담당자를 찾는 것이 어려움.","신규사업에 대한 적극적인 투자 및 과감한 실행을 해야 할 것으로 판단."
"""최고 통신사에서 일하면서 보고 느끼는게 많음 대기업이다보니 문화가좋음""","기업문화는 정말 최고 국내 어느 기업과 비교해봐도 전혀 꿇리지않음","매니저제도라는 제도를 도입해 모든 직급이 매니저로 바뀜에 있어 상하관계가 불명확함","이미 최고의 자리에 있지만 더욱더 발전해 혁신을 이끌어나아가주십시오"
"""좋은 급여 조건과 워크 라이프 밸런스가 갖춰진 직장입니다""","수평적인 문화 덕분에 아이디어가 생기면 바로바로 건의 가능","겉에서 알려진 것보다 생각보다는 보수적인 문화를 가지고 있습니다.","조금 더 공격적인 경영을 통한 혁신이 약간은 필요해보입니다"
"""나쁘지않은 연봉과 을지로 근무가 매력적입니다.기업문화도 수평적""","안정적인 비즈니스와 직원들을 쪼으지않는기업문화가 좋습니다.","공무원적인 보고서위주의 기업문화가 혁신을 방해합니다.무능한직책자들도.","철저하게 관리를 해서 기업의 리소스가 빠져나가지 않도록해주세요"
"""본사와 현장의 차이가 있지만 대체로 소통과 창의성, 도전, 실행력을 강조하는 분위기임. 매니저 직책이 대표적인 예. 다만 영업마케팅의 경우는 아직 전형적인 회사 분위기를 벗어나지 못함. 내부적인 경쟁도 치열함.""","최고 수준의 연봉과 복지는 인정함. 그리고 경쟁에 익숙한 사람에게는 충분한 기회가 보장됨.","보고서로 시작해서 보고서로 끝나는 문화는 피곤함. 새로운 성장동력에 대한 갈증과 가시적인 성과 미비로 인한 영업 압박. 업무 강도 꽤 있음. 야근을 당연하게 생각하는 문화가 있음.","지나친 경쟁과 성과주의로 현장 단위에서 중장기적인 업무 수행이 불가함."
"""많이 주는 만큼 많이 일하는 회사. 그치만 꼭 많이 일해야 많이 주는건 아닌 것 같은 아리송한 회사.""","상대적으로 수평적 문화. 고연차와 저연차 간의 업무 중요도 차이가 크게 나지 않음.","소속된 팀에 따라 업무만족도가 매우 차이남. 팀 분위기가 일하는 사람에게 일을 얹어주는 분위기라면 헬게이트 오픈. 팀장이나 PL이 일하지 않는 사람을 배척하는 분위기라면 꽤 만족할 수 있음.","지나친 목표 설정은 구성원과 유통망 모두를 망칩니다."
"""8 to 12, 주말 없음, 24시간 전화 대기하는 삶""","보기 드문 수평적인 문화, 상명하복 없고 높건 낮건 다 같은 매니저, 착하고 유한 사람들, 높은 연봉과 복지, 연차 눈치안보고 쓸 수 있음. 휴가를 통한 리프레쉬와 자기계발을 권장하는 회사.
특히 복지제도가 다양하고 직원들을 위한 것이 많으며 연봉 수준은 업계 탑으로 돈에 대한 걱정 없이 다닐 수 있음.","근무 시간이 너무 길고 근무 강도가 쎔. 본사/타직군은 안그런데 마케팅 현장은 하루 12시간 미만 근무가 없음.
대리점이 문을 열고 있는 한, 언제 어디서나 승인요청과 문의전화가 오므로 365일 24시간 근무 대기. 1시간이라도 연락안되면 연락 안되는 마케터라고 욕먹음.","장기적 안목, 고객지향, 소소한 업무 비효율 개선할 수 있는 건의 창구"
"""대한민국의 확실한 탑티어.
높은 연봉과 폭 넓은 복지 등""","비즈니스 캐쥬얼, 운동화, 매니저문화, 체계적인 경영지원 체계
불필요한 회식 없음
후발 주자들에 대한 경쟁의식 자체가 거의 없음. 언제든 마음먹으면 50%의 MS 달성할 수 있다고 생각함","개인주의 문화 팽배. 잘난 사람들이 너무 많음
가령, 000을 이번에 시작하자고 하면
A매니저: 000은 저번에 해보려고 했는데 말아먹어서 안되고,
B매니저: 000은 다른 회사가 하고 있는데 별로라서 안되고,
C매니저: 000은 그냥 하면 망함

결국 실행이 안됨","업에 대한 새로운 정의를 통해서 가치플랫폼 한다는건 알겠는데, 결국 뭐하겠다는 건지 모르겠음"
"""업무에서 최고 돈 많이 줌 좋은 인식이 있음""","편안한 분위기 젊은 분위기 옷차림도 자유로움 스마트한 느낌","일이 빡셈 솔직히 널널하다고 할 수는 없음 그리고 잘난척하는 상사들이 많은 것 같다 그래서 힘들다","신입 너무 빡세게 굴리는 것 같다 일한만큼 받음"
"""업무가 까다로운 편은 아니나 스트레스 심함..오래일하기는 힘듬""","야근없음, 여직원이 많아 여자들을 위한 복지는 잘 되어있는편임","스트레스로 인한 퇴사자들 많음, 여자들사이에 적응을 잘해야함","계속 전화받는게 쉬운일이 아닌데 쉬는시간이 너무 짧음.."
"""텔레마케터 영업직이라는 직군 특성 그리고 해당지점의 기업문화특성상 낮은실적=인간대우받기 힘들다.""","대기업계열인만큼 가장 낮은 서비스영업직군이지만 최소한의 복지혜택도 누릴수있다. 3개월 이상 근무시 통신비지원","기업문화개선이 가장 시급하다. 입사 시 3개월이내 퇴사율이 80프로라고 했는데 왜그런지 몸소 체험한 바. 사람을 미치게 만드는 곳","무조건 불도저식의 밀어붙임이 아닌 직원들과 함께하는 동반경영을 했으면. 이직률이 높은것이 놀라운 사실도 아닐지경"
"""Work & life 밸런스가 중요한 사람에겐 비추천.""","상사에 따라 다르나 대부분 초과근무 등록 가능. 높은 페이와 (나름) 수평적 조직구조","조작구조가 수평적인 편이라곤 하나 어쩔수없이 존재하는 수직적 분위기가 있음. 일과 삶의 균형이 종종 깨질수 있음","지나친 인력감축으로 인해 업무가 너무 과중한 편임. 인력 증축이 필요하다고 생각함"
"""기업 자체 분위기가매우좋음 수평적관계""","복지 최고수준, 아이디어를 편ㅇ하게 낼수 있음 그러므로
사내 분위기가 무겁지 않아서 좋음","시스템상 문제, 절차가 복잡하고 이미정해진것을바꾸기힘듦.
이러한점은 단점이라고볼수있음.","경영진이 어떤 문제에 대한 정확한 파악을 못하는 것 같아보임
문제이씀"
"""업무 환경 좋음. 하지만, 업무 배분이 효율적이지 못함""","업무에 집중할 수 있는 환경이 잘갖춰짐
급여 부분에 만족","딱딱한 조직문화가 아직도 남아있음
부서별로 상이하나 술자리가 많음","라인 문화를 개선하길 바람
소통이 더욱 활발한 조직문화 바람"
"""skt는 sk 계열사중 단연 top이라 하겠습니다.""","높은 연봉과 높은 성과금 및 복지제도로 많은 돈을 벌 수 있습니다.","기업이 공짜로 돈을 주지는 않습니다. 그만큼 빡시게 일해야 합니다.","돈을 좀 줄이더라도 일을 좀 줄여줬으면..........."
"""연봉은 진짜 많고, 복지는 최고입니다. 다양한 개발 기회를 주는 곳""","높은 연봉과 다양한 복지로 직원들에게는 좋은 회사입니다. 또한 MBA 등 다양한 기회를 통해 직원들에게 발전을 기회를 제공하고 있습니다.","몇년 전 부터 회사의 위기라는 말이 많이 있습니다. 통신외의 새로운 사업으로 변경을 시도하지만 딱히 좋은 결과를 얻어오지는 못하는 것 같습니다.","다양한 인재 확보를 통해 새로운 비지니스를 얻어내길 기대합니다. 최고 통신회사의 위용을 유지해 주세요"
"""최고의 복지, 최고의 연봉 수준으로 큰 기대를 하지 않고 다닌다면 최고의 직장이 될 수 있다.""","조직별로 차이가 있지만 대체적으로 수평적인 문화, 높지 않은 근무 강도와 국내 최고 수준의 복지와 처우가 장점이다.","비효율적인 회의가 많으며, 관리 위주의 업무만 하기 때문에 실무를 익히기에는 부족한 면이 있다. 조직 측면에서 분사가 자주 일어나는 점도 단점 중에 하나이다.","멜론, 플래닛, m&c 등 잘 나가는 사업을 분사시키는 경우가 많은데 조금 더 구성원 입장을 생각할 필요가 있다."
"""지방근무로 비효율이 있음. 일하는 사람 일하고 노는 사람 노는 분위기 있음. 팀끼리 으쌰으쌰 심함""","급여가 좋음. 급여만 보고 일하면 둘도 없이 좋은 회사. 지방에서 4~5년 있으면 본사 근무 가능(본사 근무시 워크앤라이프발란스가 좋다고 들었음)","대리점 관리로 술 많이 먹어야 함. 못해도 술먹고 으쌰으쌰 잘해도 술먹고 으쌰으쌰.
통신업 미래가 없다고 생각함. 그래서 플래폼 사업을 확장할려고 노력 중","적극적으로 신규 수익 사업 개척하고, 윗선에서 감당하고 그런 것이 필요하다고 들었음"
"""본인의 능력을 키우고 싶다면 괜찮은 곳""","좋은 복지와 발전하기 좋은 환경이라 신입에게 추천합니다","보수적인 사내분위기라서 약간 어려운 부분이있다고 봄..","너무 보수적인 태도만 바꿨으면 좋겠다는 생각"
"""높은 임금. 망하지 않을 이동통신 비즈니스. 이것저것 새로운걸 시도하지만 쉽지 않음.""","급여가 매우 높고 직원들을 위한 복리수준도 매우 높음. 직원들의 스펙이 좋고 똑똑한 직원들이 많음.","paper work이 너무 많음. 이동통신 1위업체이다 보니 정부 규제가 너무 많아서 창의성과 성장에 제한.","냉정하고 객관적인 성과평가에 따른 보상이 이루어지면 더 좋을것임. 특히 임원의 경우 성과와 능력보다는 그룹이 영향력, 각종 인연 등이 더 좌우하는 듯."
"""마켓 탑 수준의 교육과 수평적인 사내 제도로 인해 이직률이 낮고 들어오려는 사람이 많음.오면 좋음""","마켓 탑 수준 복지와 연봉을 기대할 수 있습니다. 다른 통신사들의 비해 좀 더 자유로운 것을 느낄 수 있음
시장 1위라는 것에 대한 자부심과 sktiEn의 프라이드를 느낄 수 있음","기업 특성 상 발전이 많이 없음 주가시장에서도 보이다시피 통신주이니많큼 십년째 제자리 걸음은 물론 기존고객 확보에 힘쓸 수 밖에 없음","좀 더 명확한 비전과 장기적 목표의식을 구성원들에게 심어 줄 필요가 있는 듯 합니다
매니저 pl 임원이라는 제도를 통해 수평적인 사내 문화를 가지고 있지만 그만큼 inefficient한 요소도 있는 것 같습니다"
"""급여 박봉.. 수당붙어도 170넘기힘듬 ㅜ 환경은 좋음""","사무실분위기 쾌적합니다. 구내식당도 싸고 맛있고 생활하기에는 정말 좋아요","급여 박봉..너무 심해요 연봉 요즘 그나마 높게 올려서 공고뜨던데 실질적으로 그 급여 받기란 너무 힘들듯..","급여개선이꼭 필요해요 회사주변환경이나 사무실환경은 좋지만 다른회사랑 비교했을때 특별하진않은데 급여가 너무 심합니다
수당안붙고 세전 금액이면 정말 노답이예요~"
"""개인의 발전가능성은 높지않지만, 복지가 훌륭하고 동종업계 중 상위권 연봉을 받을 수 있다""","만족스러운 연봉, 복지혜택 (여성을 위한 복지혜택도 많아 여성이 다니기에도 괜찮은 회사임)","평가에 따라 인센티브 차이가 많이나는데 평가의 공정성이 없음. 기준도 불투명함. 조직 이동 및 분사 이슈가 너무 잦아 불안정함","의사결정을 확실히 내려줬으면 좋겠음. 그리고 단기간에 성과가날 것이 아니라 미래를 위해 과감하게 투자도 했으면 좋겠음"
"""열린문화와 편안한 분위기에서 근무할 수 있는 곳""","상하간의 의사소통이 자연스럽고 편안한 분위기에서 일을 할 수 있었습니다.","단점을 굳이 꼽자면, 개인에게 할당된 책임이 생각보다 많다는 것입니다.","직원들의 불만을 해결하려는 모습을 보여주시면 좋을것같아요"
"""연봉대비 가장 편하게 일할 수 있는 곳
꿀
개인의 경쟁력 관점에서 성장성은 글쎄요...""","고연봉이나 업무로드 매우 낮다
저연차 연봉은 삼성급인데 삼성의 1/3 정도 빡셈","전형적인 대기업 문화로써 하청업체 관리 중심으로 성장함
개인의 경쟁력이 갈수록 함몰되어 어느 시점이 지나 안주하다가 안좋은 상황에서 벗어나기기 매우 힘들어짐","신규 사업을 할거면 제대로 된 방향성과 투자를 했으면..."
"""연봉 복지 업계 최상위 수준. 영업 압박 및 야근 압박 최상위 수준.""","상호간 매니저라 부르는 수평적 조직 문화가 좋음. 연봉 복지 너무 좋음. 3-5년간 한 직무 근무하고 타 직무 타 부서로 옮기는거 가능.","하루종일 사무 내근 직으로 몸이 병들어 간다..막내한테 업무 대부분이 몰려서 초반이 너무 힘들다. 야근 빡심.","경쟁사에 비해서 압도적인 리딩 전략을 세워주길. 그리고 통신료 가격좀 낮춰줘 --"
"""사내 문화, 복지, 급여 등 장점이 있지만 직무 만족도는 살짝 아쉬움""","수평적인 문화를 지향하고 복지나 급여 등에서 어느정도 안팎의 긍정적인 평가가 일치함","수평적인 분위기로 미팅, 업무 과정에서 사공이 많은 상황 발생, 외국계 기업만큼 업무의 자유로움과 복지로 잘못 이미지를 형성하는 구직자들이 있는데 시장을 바라보고 업무를 보는데는 상당히 보수적이고 고지식한 부분이 있음(매뉴얼, 가이드라인)","업무가 결코 즐겁거나 널럴하진 않지만 여느 회사보단 장점이 많은 좋은 회사라고 생각, 개인적으로 느끼는 점은 강력한 추진력이 살짝 부족하다는 느낌이 있음."
"""서비스직에 대한 궁금함을 얻고 싶으시다면 추천합니다. 솔까 처음은 많이 힘들어요 직무지식도 쌓아야 하고 응대도 해야하는 부분이 많아서이죠""","일단 저희는 실적에 대한 압박은 크게 받지 않고 있는 상태입니다 다른데와는 다르게 가족처럼 화목하다고 느낄만큼 저는 그 부분에 만족합니다","단순잔업무가 많아요 사람들은 흔하게 생각 못 하는 부분도 없지 않아 많이 있는것 같기도 하구요 응대하다가 고객들이 잔소리쓴소리 언성을 높이면 저도 따라 화내고 싶은점이잇는거 같기도... 그리고 퇴근은 좀 늦은편인것 같네요","직원들의 복지를 조금 더 늘려줬으면 좋겠어요 점심시간이라도 정해두든, 아니면 제발 직원수를 늘려주세요!!"
"""여성이 다니기에 최적의 대기업. 각종 복리혜택과 근무 환경 측면에서 최고의 회사라고 생각합니다.""","무엇보다 동종업계, 동종직무 대비 가장 높은 연봉 수준이 최고 장점일 것 같습니다. 자기계별비가 연간 200만원 이상 지원이 되었고 다양한 문화생활, 도서구입 등 폭넓게 사용할 수 있어 연봉을 더 받는 것과 유사했습니다. 본사 근무 시 운동시설, 질 높은 사내 식당 등의 복지도 빼 놓을 수 없고, 어린이집이 사내에 있어 아이 있는 여성의 경우 최고의 회사라고 할 수 있을 것 같습니다.","승진 누적이 되어 있는점은 어느 대기업이나 마찬가지가 아닐까 싶습니다. 제가 퇴사한 이후 연봉수준이 다소 내려간 것으로 보였습니다. 분사 등의 이슈가 단점이 될 수 있을 듯 하며 최고경영진의 이슈도 있겠으나 실무에 미치는 영향은 크지 않은 것 같습니다.","최고 경영진의 도덕성, 윤리성 등이 사회적으로 논란이 되지 않으면 더욱 좋겠습니다."
"""개발자에 대한 대우가 좋은 편. QA에 대한 평가는 낮다. 업무처리 과정이 피곤한 편이다.""","사내복지를 나쁘지 않은 편이다. 연차나 휴가계획을 세우는 데 있어 눈치를 크게 주는편은 아님. 자기계발하기에 좋은 환경.","업무처리 과정이 피곤한 편이다. 단순업무에 보고절차가 과도하게 많다. 자기성과를 드러내기 위해 소모적인 작업이 많은 편.","보고체계 단순화와 사원들이 편히 일할 수 있도록 신경 써 주시길."
"""대기업이라서 사원증을 매고 뽐낼 수 있음.""","대기업이라 자부심을 가질 수 있음.
대기업이라서 사원증을 매고 뽐낼 수 있음.","야근이 잦고 여성의 복지가 좋지 않음.
퇴근이 늦은 시간이라 힘들었음.","복지 개선을 더 해줬으면 좋겠다.
연봉을 더 올려줬으면 좋겠다."
"""수평적 조직문화, 복지, 근무환경은 매우 훌륭하다.
다만 자신의 일을 전문적으로 하고싶다면 마지막직장으로 택하길 바란다""","스평적 구조, 자유로운 분위기 사람들은 좋다, 복리후생도 나쁘지 않은편","보고를 위한 보고서에 시간 투자가 많다 혁신과 변화를 추구하나 그러기엔 이미 늦은듯. 통신으로 먹고살고있으나 새로운 플랫폼에 대한 전문적이지 못하다","시대에 뒤떨어진 발상. 이미 다 성공한 비지니스모델과 사업 아이템을 왜 두발늦게 시작하는지.. 늦어도 너무 늦다."
"""높은 급여와 쾌적한 근무환경 자유로운 분위기가 있음.""","팀마다 좀 다르긴하나 휴가를 길게 갈 수 있음. 자기계발에 지원되는 비용이 따로 있고 쓸수 있음 .","업무 자체를 전문적으로 할 줄 아는 사람이 드물어서 조직내에서 전문성을 기르기는 힘든 측며이 있음","전문가로서 성장할 수 있는 시스템을 구축하는것이 직원에게 많은 도움과 동기부여가 될것임"
"""구성원 복지와 급여가 국내 최고인 회사이며, 각종 글로벌 교육 기회가 많음""","국내 이동통신 부동의 1위로 에스케이 그룹내 캐시카우로 현금자산 보유 최고 및 연 매출 12조 이상","조직의 변화가 잦고 빠르며 그로벌 역량을 갖추어야 성장가능성 있음
기본적인 개인 업무량 많음","일관되고 장기적인 신사업 육성의 지속 경영이 필요하고 비수익성 사업은 오래 못버팀"
"""현재 최고점을 찍고 트랜스포메이션을 하기위해 약간 하락세 그러나 타 기업에 비해 안정적""","자유로운 분위기가 있으나 부서별로 약간 다르며 약간 남초 회사. 전체적으로 전산화되어있고 딱딱하지 만은 않음.","보고서 회의가 너무 많아 일을 하기가 힘듬. 부서 간 소통이 잘되는 편은 아니며 너무 전산화를 추구하는 나머지 실제 업무에 발목을 잡고 의사결정이 늦어지는 프로세스가 많음","정확한 회사 방향을 설정했으면 전략 방향을 꾸준히 추진하면 좋겠고 매출도 중요하지만 전환의 토양을 다지는 것도 중요함"
"""팀마다 다르겠지만 자유로운 팀 분위기에 칼퇴. 만족할만한 연봉과 자율성이 높게 나타나는 곳.""","오전 식사 제공. 만족할만한 연봉. 통신요금 복지의 쏠쏠함.","오랜 시간을 이곳에서 보낸 차장/부장이 많다. 생각보다 기업 내 소통의 부재가 크고 시간들여 기획해도 쉽게 버려지거나 접어지는 사업이 많다.","적은 인원으로 고효율을 바라지말고 인력 충원도 때로는 필요하다."
"""과거가 좋았던 기업이라고 평가하고 싶다. 미래가 좋을 것인가에 대해서는 다소 의구심이 남는 회사일 수도 있다고 생각한다.""","내수 기업으로서 이동통신사업권이라는 높은 장벽으로 인하여 보장받은 수익성으로 높은 급여를 받을 수 있는 것이 가장 큰 장점이 아닌지?","당장의 급여는 대한민국 최고이나, 외부에서 보는 것보다는 전문성을 갖출 수 있는 분야가 한정되어 있지 않은가요?","투자다운 투자를 하는 대한민국을 선도하는 기업이 되어 주시길 ..."
